,l1,w2,Freq,dB
106,5,3,2.413333333,-13.9539269
107,6,3,2.426666667,-14.15449389
108,7,3,2.44,-14.36343925
109,8,3,2.453333333,-14.58128129
110,9,3,2.466666667,-14.80857141
111,1,4,2.48,-15.04589457
112,2,4,2.493333333,-15.2938687
113,3,4,2.506666667,-15.55450066
114,4,4,2.52,-15.8286672
115,4,4,2.533333333,-16.11596536
116,4,4,2.546666667,-16.41738424
117,4,4,2.56,-16.73398335
118,5,4,2.573333333,-17.06689136
119,6,4,2.586666667,-17.41730031
120,7,4,2.6,-17.78645281
121,8,4,2.613333333,-18.17561791
122,9,4,2.626666667,-18.58604927
123,1,5,2.64,-19.01891609
124,2,5,2.653333333,-19.47519177
125,3,5,2.666666667,-19.95547802
126,4,5,2.68,-20.45973155
127,5,5,2.693333333,-20.98684585
128,6,5,2.706666667,-21.53402523
129,7,5,2.72,-22.09587726
130,8,5,2.733333333,-22.66316501
131,9,5,2.746666667,-23.22124697
132,1,6,2.76,-23.74846987
133,2,6,2.773333333,-24.21525137
134,3,6,2.786666667,-24.58522197
135,4,6,2.8,-24.82003386
136,5,6,2.813333333,-24.88817425
137,6,6,2.826666667,-24.77490732
138,7,6,2.84,-24.48775914
139,8,6,2.853333333,-24.05376966
140,9,6,2.866666667,-23.51045931
141,1,7,2.88,-22.89610207
142,2,7,2.893333333,-22.24341901
143,3,7,2.906666667,-21.57731547
144,4,7,2.92,-20.91527052
145,5,7,2.933333333,-20.26883149
146,6,7,2.946666667,-19.64525874
147,7,7,2.96,-19.04891956
148,8,7,2.973333333,-18.48234372
149,9,7,2.986666667,-17.94698297
150,1,8,3,-17.44375071
151,2,8,3.013333333,-16.97341389
152,3,8,3.026666667,-16.53689446
153,4,8,3.04,-16.13552262
154,5,8,3.053333333,-15.7712695
155,6,8,3.066666667,-15.44697152
156,7,8,3.08,-15.16653488
157,8,8,3.093333333,-14.93506472
158,9,8,3.106666667,-14.75878059
159,1,9,3.12,-14.64443071
160,2,9,3.133333333,-14.59768956
161,3,9,3.146666667,-14.61979236
162,4,9,3.16,-14.7017847
163,5,9,3.173333333,-14.81714995
164,6,9,3.186666667,-14.91728648
165,7,9,3.2,-14.93869456
166,8,9,3.213333333,-14.82717203
167,9,9,3.226666667,-14.5659915
168,1,1,3.24,-14.18235145
169,2,1,3.253333333,-13.69950614
170,3,1,3.266666667,-13.05987438
171,4,1,3.28,-12.35097168
172,5,1,3.293333333,-11.60756182
173,6,1,3.306666667,-10.8607698
174,7,1,3.32,-10.13525307
175,8,1,3.333333333,-9.44875047
176,9,1,3.346666667,-8.813123659
177,1,2,3.36,-8.236189866
178,2,2,3.373333333,-7.724021717
179,3,2,3.386666667,-7.283766151
180,4,2,3.4,-6.927449281
181,5,2,3.413333333,-6.677851423
182,6,2,3.426666667,-6.578553803
183,7,2,3.44,-6.711287319
184,8,2,3.453333333,-7.218896243
185,9,2,3.466666667,-8.278244256
186,1,3,3.48,-9.66425669
187,2,3,3.493333333,-9.680174959
188,3,3,3.506666667,-7.888639167
189,4,3,3.52,-6.297886065
190,5,3,3.533333333,-5.530052566
191,6,3,3.546666667,-5.50356128
192,7,3,3.56,-6.117811763
193,8,3,3.573333333,-7.327137243
194,9,3,3.586666667,-9.139194546
195,1,4,3.6,-11.6557696
196,2,4,3.613333333,-15.18897044
197,3,4,3.626666667,-20.3653951
198,4,4,3.64,-23.23821805
199,4,4,3.653333333,-17.91012524
200,4,4,3.666666667,-14.27720552
201,4,4,3.68,-13.39883168
202,5,4,3.693333333,-15.47971662
203,6,4,3.706666667,-20.29598792
204,7,4,3.72,-25.26043305
205,8,4,3.733333333,-21.14594435
206,9,4,3.746666667,-16.92396115
207,1,5,3.76,-14.06267744
208,2,5,3.773333333,-11.93688641
209,3,5,3.786666667,-10.23544113
210,4,5,3.8,-8.811964474
211,5,5,3.813333333,-7.599365986
212,6,5,3.826666667,-6.573958221
213,7,5,3.84,-5.737005495
214,8,5,3.853333333,-5.100936567
215,9,5,3.866666667,-4.676639922
216,1,6,3.88,-4.463970497
217,2,6,3.893333333,-4.449508841
218,3,6,3.906666667,-4.612647978
219,4,6,3.92,-4.937297685
220,5,6,3.933333333,-5.427911417
221,6,6,3.946666667,-6.137814284
222,7,6,3.96,-7.239871128
223,8,6,3.973333333,-9.213180181
224,9,6,3.986666667,-12.99934801
225,1,7,4,-15.76362401
226,2,7,4.013333333,-10.90674703
227,3,7,4.026666667,-7.715691097
228,4,7,4.04,-6.289443699
229,5,7,4.053333333,-5.954691658
230,6,7,4.066666667,-6.405383286
231,7,7,4.08,-7.512357175
232,8,7,4.093333333,-8.872911073
233,9,7,4.106666667,-8.992932724
234,1,8,4.12,-7.880701958
235,2,8,4.133333333,-6.598458257
236,3,8,4.146666667,-4.158444356
237,4,8,4.16,-3.018234244
238,5,8,4.173333333,-3.007658945
239,6,8,4.186666667,-3.732482172
240,7,8,4.2,-5.136955555
241,8,8,4.213333333,-7.383287279
242,9,8,4.226666667,-10.74240548
243,1,9,4.24,-14.82326304
244,2,9,4.253333333,-15.43327546
245,3,9,4.266666667,-12.68178617
246,4,9,4.28,-10.52790942
247,5,9,4.293333333,-9.279039366
248,6,9,4.306666667,-8.725372434
249,7,9,4.32,-8.790642
250,8,9,4.333333333,-9.489751743
251,9,9,4.346666667,-10.32925771
252,1,1,4.36,-9.385149162
253,2,1,4.373333333,-7.250863259
254,3,1,4.386666667,-6.427991976
255,4,1,4.4,-6.804192662
256,5,1,4.413333333,-8.225751136
257,6,1,4.426666667,-9.868926988
258,7,1,4.44,-7.814801972
259,8,1,4.453333333,-6.322032213
260,9,1,4.466666667,-6.147815108
261,1,2,4.48,-6.033199842
262,2,2,4.493333333,-5.299110751
263,3,2,4.506666667,-4.445379931
264,4,2,4.52,-3.976763659
265,5,2,4.533333333,-3.898228341
266,6,2,4.546666667,-4.120594289
267,7,2,4.56,-4.609618149
268,8,2,4.573333333,-5.390109468
269,9,2,4.586666667,-6.542096215
270,1,3,4.6,-8.218391661
271,2,3,4.613333333,-10.71040749
272,3,3,4.626666667,-14.6809671
273,4,3,4.64,-22.18626203
274,5,3,4.653333333,-23.60634559
275,6,3,4.666666667,-15.66879864
276,7,3,4.68,-11.59857545
277,8,3,4.693333333,-8.996160186
278,9,3,4.706666667,-7.046441479
279,1,4,4.72,-5.319043471
280,2,4,4.733333333,-3.44833012
281,3,4,4.746666667,-1.080002181
282,4,4,4.76,1.245823238
283,4,4,4.773333333,0.089709478
284,4,4,4.786666667,-2.810410045
285,4,4,4.8,-4.681952538
286,5,4,4.813333333,-5.71223415
287,6,4,4.826666667,-6.324512174
288,7,4,4.84,-6.74882134
289,8,4,4.853333333,-7.092998333
290,9,4,4.866666667,-7.406895019
291,1,5,4.88,-7.713566883
292,2,5,4.893333333,-8.0231661
293,3,5,4.906666667,-8.339194981
294,4,5,4.92,-8.661436419
295,5,5,4.933333333,-8.987410546
296,6,5,4.946666667,-9.313168686
297,7,5,4.96,-9.633796957
298,8,5,4.973333333,-9.943808155
299,9,5,4.986666667,-10.2375075
300,1,6,5,-10.50936573
301,2,6,5.013333333,-10.75439803
302,3,6,5.026666667,-10.96852202
303,4,6,5.04,-11.14885293
304,5,6,5.053333333,-11.29389239
305,6,6,5.066666667,-11.40358059
306,7,6,5.08,-11.47920584
307,8,6,5.093333333,-11.52319291
308,9,6,5.106666667,-11.5388122
309,1,7,5.12,-11.52986014
310,2,7,5.133333333,-11.50035642
311,3,7,5.146666667,-11.45428974
312,4,7,5.16,-11.39542789
313,5,7,5.173333333,-11.32719354
314,6,7,5.186666667,-11.25259763
315,7,7,5.2,-11.17421812
316,8,7,5.213333333,-11.09421054
317,9,7,5.226666667,-11.01433868
318,1,8,5.24,-10.9360161
319,2,8,5.253333333,-10.86035167
320,3,8,5.266666667,-10.78819482
321,4,8,5.28,-10.72017779
322,5,8,5.293333333,-10.65675357
323,6,8,5.306666667,-10.59822897
324,7,8,5.32,-10.54479288
325,8,8,5.333333333,-10.49654013
326,9,8,5.346666667,-10.45349116
327,1,9,5.36,-10.41560842
328,2,9,5.373333333,-10.3828096
329,3,9,5.386666667,-10.3549785
330,4,9,5.4,-10.33197374
331,5,9,5.413333333,-10.3136358
332,6,9,5.426666667,-10.29979263
333,7,9,5.44,-10.29026415
334,8,9,5.453333333,-10.28486575
335,9,9,5.466666667,-10.28341114
336,1,1,5.48,-10.28571446
337,2,1,5.493333333,-10.29159202
338,3,1,5.506666667,-10.30126099
339,4,1,5.52,-10.31465191
340,5,1,5.533333333,-10.33127047
341,6,1,5.546666667,-10.35099053
342,7,1,5.56,-10.37368486
343,8,1,5.573333333,-10.39922631
344,9,1,5.586666667,-10.42748885
345,1,2,5.6,-10.45834825
346,2,2,5.613333333,-10.4916827
347,3,2,5.626666667,-10.52737321
348,4,2,5.64,-10.56530386
349,5,2,5.653333333,-10.605362
350,6,2,5.666666667,-10.6474383
351,7,2,5.68,-10.69142677
352,8,2,5.693333333,-10.73722466
353,9,2,5.706666667,-10.78473242
354,1,3,5.72,-10.83385353
355,2,3,5.733333333,-10.88449432
356,3,3,5.746666667,-10.93656385
357,4,3,5.76,-10.98997365
358,5,3,5.773333333,-11.0446376
359,6,3,5.786666667,-11.10047167
360,7,3,5.8,-11.15739375
361,8,3,5.813333333,-11.21532351
362,9,3,5.826666667,-11.27418214
363,1,4,5.84,-11.33389222
364,2,4,5.853333333,-11.39437757
365,3,4,5.866666667,-11.45556306
366,4,4,5.88,-11.51737451
367,4,4,5.893333333,-11.57973854
368,4,4,5.906666667,-11.64258247
369,4,4,5.92,-11.70583418
370,5,4,5.933333333,-11.76942207
371,6,4,5.946666667,-11.83327495
372,7,4,5.96,-11.89732198
373,8,4,5.973333333,-11.96149264
374,9,4,5.986666667,-12.02571665
375,1,5,6,-12.08992397
376,2,5,6.013333333,-12.1540448
377,3,5,6.026666667,-12.21800951
378,4,5,6.04,-12.28174875
379,5,5,6.053333333,-12.34519335
380,6,5,6.066666667,-12.40827447
381,7,5,6.08,-12.47092356
382,8,5,6.093333333,-12.53307243
383,9,5,6.106666667,-12.59465335
384,1,6,6.12,-12.65559906
385,2,6,6.133333333,-12.71584291
386,3,6,6.146666667,-12.77531893
387,4,6,6.16,-12.83396192
388,5,6,6.173333333,-12.89170756
389,6,6,6.186666667,-12.94849253
390,7,6,6.2,-13.00425465
391,8,6,6.213333333,-13.05893297
392,9,6,6.226666667,-13.11246792
393,1,7,6.24,-13.16480143
394,2,7,6.253333333,-13.2158771
395,3,7,6.266666667,-13.2656403
396,4,7,6.28,-13.31403833
397,5,7,6.293333333,-13.36102056
398,6,7,6.306666667,-13.40653853
399,7,7,6.32,-13.45054615
400,8,7,6.333333333,-13.49299975
401,9,7,6.346666667,-13.53385827
402,1,8,6.36,-13.57308332
403,2,8,6.373333333,-13.61063934
404,3,8,6.386666667,-13.64649363
405,4,8,6.4,-13.68061653
406,5,8,6.413333333,-13.7129814
407,6,8,6.426666667,-13.74356475
408,7,8,6.44,-13.77234629
409,8,8,6.453333333,-13.79930892
410,9,8,6.466666667,-13.82443882
411,1,9,6.48,-13.84772539
412,2,9,6.493333333,-13.86916134
413,3,9,6.506666667,-13.88874258
414,4,9,6.52,-13.90646824
415,5,9,6.533333333,-13.92234063
416,6,9,6.546666667,-13.93636514
417,7,9,6.56,-13.94855023
418,8,9,6.573333333,-13.95890728
419,9,9,6.586666667,-13.96745054
420,1,1,6.6,-13.97419702
421,2,1,6.613333333,-13.97916635
422,3,1,6.626666667,-13.98238068
423,4,1,6.64,-13.98386454
424,5,1,6.653333333,-13.98364468
425,6,1,6.666666667,-13.98174999
426,7,1,6.68,-13.97821125
427,8,1,6.693333333,-13.97306109
428,9,1,6.706666667,-13.96633375
429,1,2,6.72,-13.95806495
430,2,2,6.733333333,-13.94829178
431,3,2,6.746666667,-13.93705247
432,4,2,6.76,-13.9243863
433,5,2,6.773333333,-13.91033343
434,6,2,6.786666667,-13.89493472
435,7,2,6.8,-13.87823167
436,8,2,6.813333333,-13.8602662
437,9,2,6.826666667,-13.84108057
438,1,3,6.84,-13.82071724
439,2,3,6.853333333,-13.79921875
440,3,3,6.866666667,-13.77662761
441,4,3,6.88,-13.75298619
442,5,3,6.893333333,-13.72833663
443,6,3,6.906666667,-13.70272074
444,7,3,6.92,-13.67617993
445,8,3,6.933333333,-13.64875511
446,9,3,6.946666667,-13.62048664
447,1,4,6.96,-13.59141425
448,2,4,6.973333333,-13.56157699
449,3,4,6.986666667,-13.5310132
450,4,4,7,-13.49976041
451,4,4,1,-5.11810827
452,4,4,1.013333333,-5.196537964
453,4,4,1.026666667,-5.275984442
454,5,4,1.04,-5.356432229
455,6,4,1.053333333,-5.437868472
456,7,4,1.066666667,-5.520282822
457,8,4,1.08,-5.60366731
458,9,4,1.093333333,-5.688016211
459,1,5,1.106666667,-5.773325893
460,2,5,1.12,-5.859594668
461,3,5,1.133333333,-5.94682262
462,4,5,1.146666667,-6.035011432
463,5,5,1.16,-6.124164196
464,6,5,1.173333333,-6.214285221
465,7,5,1.186666667,-6.305379818
466,8,5,1.2,-6.397454083
467,9,5,1.213333333,-6.490514666
468,1,6,1.226666667,-6.58456852
469,2,6,1.24,-6.679622645
470,3,6,1.253333333,-6.775683812
471,4,6,1.266666667,-6.872758275
472,5,6,1.28,-6.970851465
473,6,6,1.293333333,-7.069967668
474,7,6,1.306666667,-7.170109687
475,8,6,1.32,-7.271278488
476,9,6,1.333333333,-7.373472825
477,1,7,1.346666667,-7.476688853
478,2,7,1.36,-7.580919721
479,3,7,1.373333333,-7.686155152
480,4,7,1.386666667,-7.792381004
481,5,7,1.4,-7.899578825
482,6,7,1.413333333,-8.007725395
483,7,7,1.426666667,-8.11679226
484,8,7,1.44,-8.226745261
485,9,7,1.453333333,-8.337544074
486,1,8,1.466666667,-8.449141746
487,2,8,1.48,-8.561484251
488,3,8,1.493333333,-8.674510067
489,4,8,1.506666667,-8.78814978
490,5,8,1.52,-8.902325736
491,6,8,1.533333333,-9.016951736
492,7,8,1.546666667,-9.131932798
493,8,8,1.56,-9.247164997
494,9,8,1.573333333,-9.362535395
495,1,9,1.586666667,-9.477922075
496,2,9,1.6,-9.593194297
497,3,9,1.613333333,-9.708212787
498,4,9,1.626666667,-9.822830178
499,5,9,1.64,-9.936891611
500,6,9,1.653333333,-10.05023551
501,7,9,1.666666667,-10.16269455
502,8,9,1.68,-10.2740968
503,9,9,1.693333333,-10.38426705
504,1,1,1.706666667,-10.49302835
505,2,1,1.72,-10.60020376
506,3,1,1.733333333,-10.70561813
507,4,1,1.746666667,-10.80910022
508,5,1,1.76,-10.9104848
509,6,1,1.773333333,-11.00961486
510,7,1,1.786666667,-11.10634394
511,8,1,1.8,-11.20053837
512,9,1,1.813333333,-11.29207954
513,1,2,1.826666667,-11.38086604
514,2,2,1.84,-11.46681567
515,3,2,1.853333333,-11.54986727
516,4,2,1.866666667,-11.62998231
517,5,2,1.88,-11.70714619
518,6,2,1.893333333,-11.78136923
519,7,2,1.906666667,-11.85268742
520,8,2,1.92,-11.92116268
521,9,2,1.933333333,-11.98688288
522,1,3,1.946666667,-12.04996155
523,2,3,1.96,-12.11053715
524,3,3,1.973333333,-12.16877218
525,4,3,1.986666667,-12.22485198
526,5,3,2,-12.27898333
527,6,3,2.013333333,-12.3313929
528,7,3,2.026666667,-12.3823256
529,8,3,2.04,-12.43204283
530,9,3,2.053333333,-12.48082077
531,1,4,2.066666667,-12.52894865
532,2,4,2.08,-12.57672719
533,3,4,2.093333333,-12.62446702
534,4,4,2.106666667,-12.67248734
535,4,4,2.12,-12.72111471
536,4,4,2.133333333,-12.77068204
537,4,4,2.146666667,-12.82152775
538,5,4,2.16,-12.87399514
539,6,4,2.173333333,-12.92843198
540,7,4,2.186666667,-12.9851903
541,8,4,2.2,-13.04462636
542,9,4,2.213333333,-13.10710082
543,1,5,2.226666667,-13.17297911
544,2,5,2.24,-13.24263196
545,3,5,2.253333333,-13.31643609
546,4,5,2.266666667,-13.39477506
547,5,5,2.28,-13.47804025
548,6,5,2.293333333,-13.56663204
549,7,5,2.306666667,-13.66096103
550,8,5,2.32,-13.76144942
551,9,5,2.333333333,-13.86853256
552,1,6,2.346666667,-13.98266054
553,2,6,2.36,-14.10429997
554,3,6,2.373333333,-14.23393581
555,4,6,2.386666667,-14.37207334
556,5,6,2.4,-14.51924032
557,6,6,2.413333333,-14.67598919
558,7,6,2.426666667,-14.84289939
559,8,6,2.44,-15.02057991
560,9,6,2.453333333,-15.2096718
561,1,7,2.466666667,-15.41085091
562,2,7,2.48,-15.62483059
563,3,7,2.493333333,-15.85236443
564,4,7,2.506666667,-16.09541782
565,5,7,2.52,-16.35487595
566,6,7,2.533333333,-16.63063375
567,7,7,2.546666667,-16.9238669
568,8,7,2.56,-17.23586113
569,9,7,2.573333333,-17.56802285
570,1,8,2.586666667,-17.92188941
571,2,8,2.6,-18.29913779
572,3,8,2.613333333,-18.7015896
573,4,8,2.626666667,-19.13120867
574,5,8,2.64,-19.59008504
575,6,8,2.653333333,-20.08039478
576,7,8,2.666666667,-20.6043177
577,8,8,2.68,-21.16388309
578,9,8,2.693333333,-21.76069347
579,1,9,2.706666667,-22.39544379
580,2,9,2.72,-23.06710412
581,3,9,2.733333333,-23.77156626
582,4,9,2.746666667,-24.49949016
583,5,9,2.76,-25.23311127
584,6,9,2.773333333,-25.94213239
585,7,9,2.786666667,-26.58000811
586,8,9,2.8,-27.08429715
587,9,9,2.813333333,-27.38683901
588,1,1,2.826666667,-27.43596631
589,2,1,2.84,-27.22025568
590,3,1,2.853333333,-26.7744973
591,4,1,2.866666667,-26.16219123
592,5,1,2.88,-25.45036545
593,6,1,2.893333333,-24.69336248
594,7,1,2.906666667,-23.92853778
595,8,1,2.92,-23.17866212
596,9,1,2.933333333,-22.45609686
597,1,2,2.946666667,-21.76644463
598,2,2,2.96,-21.11112782
599,3,2,2.973333333,-20.4890253
600,4,2,2.986666667,-19.89743772
601,5,2,3,-19.33261115
602,6,2,3.013333333,-18.78997901
603,7,2,3.026666667,-18.26422713
604,8,2,3.04,-17.74925662
605,9,2,3.053333333,-17.23811587
606,1,3,3.066666667,-16.72300401
607,2,3,3.08,-16.19552974
608,3,3,3.093333333,-15.64756158
609,4,3,3.106666667,-15.07322683
610,5,3,3.12,-14.47276781
611,6,3,3.133333333,-13.85852229
612,7,3,3.146666667,-13.26111883
613,8,3,3.16,-12.72939771
614,9,3,3.173333333,-12.31495059
615,1,4,3.186666667,-12.04294293
616,2,4,3.2,-11.89253473
617,3,4,3.213333333,-11.80801414
618,4,4,3.226666667,-11.72830238
619,4,4,3.24,-11.60829841
620,4,4,3.253333333,-11.42387677
621,4,4,3.266666667,-11.16778538
622,5,4,3.28,-10.84390077
623,6,4,3.293333333,-10.4627694
624,7,4,3.306666667,-10.0386619
625,8,4,3.32,-9.587643605
626,9,4,3.333333333,-9.126232817
627,1,5,3.346666667,-8.670413857
628,2,5,3.36,-8.234905772
629,3,5,3.373333333,-7.832651785
630,4,5,3.386666667,-7.474520565
631,5,5,3.4,-7.169217681
632,6,5,3.413333333,-6.923401915
633,7,5,3.426666667,-6.741989942
634,8,5,3.44,-6.628619841
635,9,5,3.453333333,-6.586236602
636,1,6,3.466666667,-6.617768184
637,2,6,3.48,-6.726882424
638,3,6,3.493333333,-6.91885505
639,4,6,3.506666667,-7.201642122
640,5,6,3.52,-7.587353093
641,6,6,3.533333333,-8.094508777
642,7,6,3.546666667,-8.751856982
643,8,6,3.56,-9.605414227
644,9,6,3.573333333,-10.73271045
645,1,7,3.586666667,-12.27505136
646,2,7,3.6,-14.52331644
647,3,7,3.613333333,-18.21615055
648,4,7,3.626666667,-26.41544007
649,5,7,3.64,-28.83544698
650,6,7,3.653333333,-19.09065397
651,7,7,3.666666667,-16.27849295
652,8,7,3.68,-16.6410047
653,9,7,3.693333333,-19.6457058
654,1,8,3.706666667,-25.40291087
655,2,8,3.72,-23.31603664
656,3,8,3.733333333,-17.40600194
657,4,8,3.746666667,-13.74025514
658,5,8,3.76,-11.44161979
659,6,8,3.773333333,-10.33292212
660,7,8,3.786666667,-11.08312238
661,8,8,3.8,-14.33810098
662,9,8,3.813333333,-12.0452377
663,1,9,3.826666667,-8.460209994
664,2,9,3.84,-6.590073654
665,3,9,3.853333333,-5.577909199
666,4,9,3.866666667,-5.016017854
667,5,9,3.88,-4.731837017
668,6,9,3.893333333,-4.643149187
669,7,9,3.906666667,-4.70762259
670,8,9,3.92,-4.90535298
671,9,9,3.933333333,-5.234346559
672,1,1,3.946666667,-5.71415951
673,2,1,3.96,-6.400982713
674,3,1,3.973333333,-7.430572672
675,4,1,3.986666667,-9.147774461
676,5,1,4,-12.49931266
677,6,1,4.013333333,-20.90227748
678,7,1,4.026666667,-15.83166023
679,8,1,4.04,-10.65580344
680,9,1,4.053333333,-8.785681209
681,1,2,4.066666667,-8.537498224
682,2,2,4.08,-9.522772112
683,3,2,4.093333333,-12.12691542
684,4,2,4.106666667,-16.08429859
685,5,2,4.12,-15.90780107
686,6,2,4.133333333,-13.28054006
687,7,2,4.146666667,-11.82073752
688,8,2,4.16,-7.671966134
689,9,2,4.173333333,-4.992949207
690,1,3,4.186666667,-4.393657574
691,2,3,4.2,-4.679200219
692,3,3,4.213333333,-5.92414465
693,4,3,4.226666667,-8.446582617
694,5,3,4.24,-12.60004502
695,6,3,4.253333333,-18.66618059
696,7,3,4.266666667,-21.27497403
697,8,3,4.28,-15.7752333
698,9,3,4.293333333,-12.97834653
699,1,4,4.306666667,-12.08748953
700,2,4,4.32,-11.52183199
701,3,4,4.333333333,-13.72888529
702,4,4,4.346666667,-17.30818429
703,4,4,4.36,-19.64024362
704,4,4,4.373333333,-17.42181687
705,4,4,4.386666667,-10.89273269
706,5,4,4.4,-7.993990515
707,6,4,4.413333333,-8.116921167
708,7,4,4.426666667,-9.945293267
709,8,4,4.44,-11.95050648
710,9,4,4.453333333,-8.616517406
711,1,5,4.466666667,-6.716110662
712,2,5,4.48,-6.799800959
713,3,5,4.493333333,-6.999105543
714,4,5,4.506666667,-6.354922237
715,5,5,4.52,-5.667853869
716,6,5,4.533333333,-5.562992183
717,7,5,4.546666667,-6.055242341
718,8,5,4.56,-7.116141683
719,9,5,4.573333333,-8.845704021
720,1,6,4.586666667,-11.54958542
721,2,6,4.6,-16.03008807
722,3,6,4.613333333,-24.61971531
723,4,6,4.626666667,-21.35884857
724,5,6,4.64,-14.93592686
725,6,6,4.653333333,-11.55597434
726,7,6,4.666666667,-9.480814842
727,8,6,4.68,-8.110440842
728,9,6,4.693333333,-7.171300779
729,1,7,4.706666667,-6.512426897
730,2,7,4.72,-6.036676996
731,3,7,4.733333333,-5.666746276
732,4,7,4.746666667,-5.314143889
733,5,7,4.76,-4.812590065
734,6,7,4.773333333,-3.753097131
735,7,7,4.786666667,-1.22506107
736,8,7,4.8,2.39461248
737,9,7,4.813333333,1.051251157
738,1,8,4.826666667,-1.42970497
739,2,8,4.84,-2.948543033
740,3,8,4.853333333,-3.945173559
741,4,8,4.866666667,-4.704022481
742,5,8,4.88,-5.358455798
743,6,8,4.893333333,-5.974785363
744,7,8,4.906666667,-6.589427863
745,8,8,4.92,-7.224560694
746,9,8,4.933333333,-7.895062167
747,1,9,4.946666667,-8.611690817
748,2,9,4.96,-9.382400648
749,3,9,4.973333333,-10.21244079
750,4,9,4.986666667,-11.10325039
751,5,9,5,-12.0496829
752,6,9,5.013333333,-13.0346746
753,7,9,5.026666667,-14.02048935
754,8,9,5.04,-14.93769143
755,9,9,5.053333333,-15.680121
756,1,1,5.066666667,-16.12511861
757,2,1,5.08,-16.19060769
758,3,1,5.093333333,-15.89046397
759,4,1,5.106666667,-15.32493951
760,5,1,5.12,-14.61821132
761,6,1,5.133333333,-13.86941281
762,7,1,5.146666667,-13.14080808
